SID;partition;activity;potency;MolWt;LogP;MR;HeavyAtomCount;AtomCount;BondCount;NumHBA;NumHBD;NumRotatableBonds;FractionCSP3;FormalCharge;AromaticRings;AliphaticRings;AromaticAtoms;HeteroatoAromaticAtoms;ms;LabuteASA;nC;nF;nH;nN;nCl;nO;nS;nBr;nI;nP
405266972;405266972;Training;Active;9.30102999566398;308.267;2.171;72.0154;22;22;24;6;1;4;0.153846153846154;0;3;0;16;16;9;122.546087561078;13;3;11;6;0;0;0;0;0;0
405266969;405266969;Training;Active;9.30102999566398;340.721;2.3491;78.7424;23;23;25;7;1;5;0.153846153846154;0;3;0;16;16;10;133.79736361454;13;2;11;6;1;1;0;0;0;0
405258654;405258654;Training;Active;9.30102999566398;338.749;2.8594;81.6784;23;23;25;6;1;4;0.214285714285714;0;3;0;16;16;9;135.04876049943;14;2;13;6;1;0;0;0;0;0
405266973;405266973;Training;Active;9.30102999566398;322.294;2.3451;76.6264;23;23;25;6;1;4;0.214285714285714;0;3;0;16;16;9;128.911029675474;14;3;13;6;0;0;0;0;0;0
405266971;405266971;Training;Active;9.22184874961636;324.722;2.6853;77.0674;22;22;24;6;1;4;0.153846153846154;0;3;0;16;16;9;128.683818385033;13;2;11;6;1;0;0;0;0;0
439657910;439657910;Training;Active;9.04575749056068;515.596;2.6815;125.9032;36;36;40;7;3;9;0.8;0;1;4;6;6;11;209.086017095524;25;4;37;5;0;2;0;0;0;0
440228774;440228774;Training;Active;9;453.562;4.34054;126.0567;33;33;37;7;1;5;0.56;0;3;2;15;15;8;193.26109515072;25;1;32;5;0;2;0;0;0;0
381749740;381749740;Training;Active;8.92081875395237;484.586;3.1956;122.7981;34;34;38;6;3;8;0.791666666666667;0;1;4;6;6;10;198.363158183033;24;4;36;6;0;0;0;0;0;0
405266954;405266954;Training;Active;8.92081875395237;339.733;3.07532;79.067;23;23;25;6;0;5;0.214285714285714;0;3;0;16;16;9;134.822415031924;14;2;12;5;1;1;0;0;0;0
381749741;381749741;Training;Active;8.82390874094432;465.608;3.6615;125.0451;33;33;37;5;3;8;0.76;0;1;4;6;6;8;194.97797479916;25;3;38;5;0;0;0;0;0;0
405266916;405266916;Training;Active;8.79588001734408;287.754;2.78234;77.172;20;20;22;5;0;3;0.214285714285714;0;3;0;16;16;6;121.377798996565;14;0;14;5;1;0;0;0;0;0
405266957;405266957;Training;Active;8.79588001734408;353.76;3.3293;83.708;24;24;26;6;0;6;0.266666666666667;0;3;0;16;16;9;141.187357146321;15;2;14;5;1;1;0;0;0;0
405266931;405266931;Training;Active;8.74472749489669;301.781;3.03632;81.813;21;21;23;5;0;4;0.266666666666667;0;3;0;16;16;6;127.742741110961;15;0;16;5;1;0;0;0;0;0
405266961;405266961;Training;Active;8.72124639904717;323.278;2.56102;74.015;23;23;25;6;0;5;0.214285714285714;0;3;0;16;16;9;128.684684207969;14;3;12;5;0;1;0;0;0;0
381749692;381749692;Training;Active;8.69897000433602;519.578;4.2369;125.0121;36;36;40;5;3;7;0.76;0;1;4;6;6;11;207.474581007939;25;6;35;5;0;0;0;0;0;0
381749763;381749763;Training;Active;8.69897000433602;516.603;3.5353;127.7161;36;36;40;6;3;9;0.8;0;1;4;6;6;11;208.893635700356;25;5;37;6;0;0;0;0;0;0
381749728;381749728;Training;Active;8.69897000433602;484.586;3.3537;122.8911;34;34;38;6;3;7;0.791666666666667;0;1;4;6;6;10;198.363158183033;24;4;36;6;0;0;0;0;0;0
405266970;405266970;Training;Active;8.67778070526608;308.267;2.171;72.0154;22;22;24;6;1;4;0.153846153846154;0;3;0;16;16;9;122.546087561078;13;3;11;6;0;0;0;0;0;0
405266959;405266959;Training;Active;8.63827216398241;369.759;2.3017;85.1198;25;25;27;7;1;7;0.266666666666667;0;3;0;16;16;10;145.981590898517;15;2;14;5;1;2;0;0;0;0
405266952;405266952;Training;Active;8.61978875828839;337.761;3.6655;82.033;23;23;25;5;0;5;0.266666666666667;0;3;0;16;16;8;136.073811916814;15;2;14;5;1;0;0;0;0;0
381749764;381749764;Training;Active;8.53760200210104;498.613;3.7438;127.5081;35;35;39;6;3;7;0.8;0;1;4;6;6;10;204.728100297429;25;4;38;6;0;0;0;0;0;0
405266955;405266955;Training;Active;8.52287874528034;365.771;3.6443;86.305;25;25;28;6;0;6;0.3125;0;3;1;16;16;9;146.546468107188;16;2;14;5;1;1;0;0;0;0
405266958;405266958;Training;Active;8.50863830616573;367.787;3.8903;88.419;25;25;27;6;0;6;0.3125;0;3;0;16;16;9;147.552299260717;16;2;16;5;1;1;0;0;0;0
405266950;405266950;Training;Active;8.46852108295774;323.734;3.41152;77.392;22;22;24;5;0;4;0.214285714285714;0;3;0;16;16;8;129.708869802417;14;2;12;5;1;0;0;0;0;0
405266946;405266946;Training;Active;8.46852108295774;335.333;3.5413;81.598;24;24;26;5;0;6;0.3125;0;3;0;16;16;8;136.301023207255;16;3;16;5;0;0;0;0;0;0
405266942;405266942;Training;Active;8.42021640338319;307.279;2.89722;72.34;22;22;24;5;0;4;0.214285714285714;0;3;0;16;16;8;123.571138978462;14;3;12;5;0;0;0;0;0;0
405266966;405266966;Training;Active;8.39794000867204;321.306;3.07132;76.951;23;23;25;5;0;4;0.266666666666667;0;3;0;16;16;8;129.936081092858;15;3;14;5;0;0;0;0;0;0
381749736;381749736;Training;Active;8.38721614328026;480.623;3.0808;127.6204;34;34;38;6;2;8;0.8;0;1;4;6;6;9;200.772536381099;25;3;39;6;0;0;0;0;0;0
405266944;405266944;Training;Active;8.38721614328026;321.306;3.1512;76.981;23;23;25;5;0;5;0.266666666666667;0;3;0;16;16;8;129.936081092858;15;3;14;5;0;0;0;0;0;0
405266962;405266962;Training;Active;8.36653154442041;353.304;1.7874;80.0678;25;25;27;7;1;7;0.266666666666667;0;3;0;16;16;10;139.843860074561;15;3;14;5;0;2;0;0;0;0
405266947;405266947;Training;Active;8.36653154442041;349.36;3.9314;86.215;25;25;27;5;0;7;0.352941176470588;0;3;0;16;16;8;142.665965321652;17;3;18;5;0;0;0;0;0;0
405266932;405266932;Training;Active;8.34678748622465;315.808;3.59732;86.524;22;22;24;5;0;4;0.3125;0;3;0;16;16;6;134.107683225358;16;0;18;5;1;0;0;0;0;0
405266894;405266894;Training;Active;8.33724216831842;322.199;3.3813;82.086;21;21;23;5;0;4;0.214285714285714;0;3;0;16;16;7;131.681065223446;14;0;13;5;2;0;0;0;0;0
439657909;439657909;Training;Active;8.32790214206428;526.644;2.9995;134.6312;37;37;41;7;3;10;0.777777777777778;0;1;4;6;6;10;217.179321055555;27;3;41;4;0;3;0;0;0;0
405266893;405266893;Training;Active;8.30980391997149;308.172;3.12732;77.445;20;20;22;5;0;3;0.153846153846154;0;3;0;16;16;7;125.31612310905;13;0;11;5;2;0;0;0;0;0
405266903;405266903;Training;Active;8.30102999566398;305.744;2.867;77.034;21;21;23;5;0;4;0.214285714285714;0;3;0;16;16;7;125.543334399491;14;1;13;5;1;0;0;0;0;0
405266953;405266953;Training;Active;8.2839966563652;351.788;4.2265;86.744;24;24;26;5;0;5;0.3125;0;3;0;16;16;8;142.43875403121;16;2;16;5;1;0;0;0;0;0
405266915;405266915;Training;Active;8.27572413039921;271.299;2.26804;72.12;20;20;22;5;0;3;0.214285714285714;0;3;0;16;16;6;115.240068172609;14;1;14;5;0;0;0;0;0;0
381749704;381749704;Training;Active;8.25963731050576;527.66;4.7378;146.6344;38;38;42;6;2;11;0.551724137931034;0;3;2;15;15;9;223.02252613983;29;2;39;5;0;2;0;0;0;0
381749715;381749715;Training;Active;8.24412514432751;488.554;4.5952;128.2547;35;35;39;5;1;9;0.5;0;3;2;15;15;9;202.543373015958;26;3;31;4;0;2;0;0;0;0
381749746;381749746;Training;Active;8.24412514432751;521.672;4.0462;138.6241;37;37;42;6;3;9;0.785714285714286;0;1;5;6;6;9;218.180515218328;28;3;42;5;0;1;0;0;0;0
405266960;405266960;Training;Active;8.22184874961636;371.75;3.2789;84.009;25;25;27;6;0;7;0.266666666666667;0;3;0;16;16;10;145.352892549247;15;3;13;5;1;1;0;0;0;0
381749719;381749719;Training;Active;8.17392519729917;459.516;3.9816;119.4977;33;33;37;5;1;8;0.5;0;3;2;15;15;9;190.284533653001;24;3;28;5;0;1;0;0;0;0
405266898;405266898;Training;Active;8.16749108729376;350.253;4.1615;91.32;23;23;25;5;0;6;0.3125;0;3;0;16;16;7;144.41094945224;16;0;17;5;2;0;0;0;0;0
405266935;405266935;Training;Active;8.16115090926274;317.78;2.00872;83.2248;22;22;24;6;1;5;0.266666666666667;0;3;0;16;16;7;132.536974863157;15;0;16;5;1;1;0;0;0;0
405266912;405266912;Training;Active;8.15490195998574;291.717;2.61302;72.393;20;20;22;5;0;3;0.153846153846154;0;3;0;16;16;7;119.178392285094;13;1;11;5;1;0;0;0;0;0
405266918;405266918;Training;Active;8.14266750356873;323.278;2.71912;74.108;23;23;25;6;0;4;0.214285714285714;0;3;0;16;16;9;128.684684207969;14;3;12;5;0;1;0;0;0;0
